Rank,State/UT,Capital,Type,Population,Percentage (%),Males,Females,Sex_Ratio,Literacy_rate,Rural population,Urban population,Area,Density,Decadal growth rate
,,,,,,,,,,,,,,
1,Uttar Pradesh,Lucknow,State,"199,812,341",16.5,"104,480,510","95,331,831",912,67.68,"155,111,022","44,470,455","240,928",828,20.10%
2,Maharashtra,Mumbai,State,"112,374,333",9.28,"58,243,056","54,131,277",929,82.34,"61,545,441","50,827,531","307,713",365,16.00%
3,Bihar,Patna,State,"104,099,452",8.6,"54,278,157","49,821,295",918,61.8,"92,075,028","11,729,609","94,163","1,102",25.10%
4,West Bengal,Kolkata,State,"91,276,115",7.54,"46,809,027","44,467,088",950,76.26,"62,213,676","29,134,060","88,752","1,030",13.90%
5,Andhra Pradesh[a],Hyderabad,State,"84,580,777",6.99,"42,442,146","42,138,631",993,67.02,"56,361,702","28,219,075","275,045",308,10.98%
6,Madhya Pradesh,Bhopal,State,"72,626,809",6,"37,612,306","35,014,503",931,69.32,"52,537,899","20,059,666","308,245",236,20.30%
7,Tamil Nadu,Chennai,State,"72,147,030",5.96,"36,137,975","36,009,055",996,80.09,"37,189,229","34,949,729","130,058",555,15.60%
8,Rajasthan,Jaipur,State,"68,548,437",5.66,"35,550,997","32,997,440",928,66.11,"51,540,236","17,080,776","342,239",201,21.40%
9,Karnataka,Bengaluru,State,"61,095,297",5.05,"30,966,657","30,128,640",973,75.36,"37,552,529","23,578,175","191,791",319,15.70%
10,Gujarat,Gandhinagar,State,"60,439,692",4.99,"31,491,260","28,948,432",919,78.03,"34,670,817","25,712,811","196,024",308,19.20%
11,Odisha,Bhubaneshwar,State,"41,974,218",3.47,"21,212,136","20,762,082",979,72.87,"34,951,234","6,996,124","155,707",269,14.00%
12,Kerala,Thiruvananthapuram,State,"33,406,061",2.76,"16,027,412","17,378,649","1,084",94,"17,445,506","15,932,171","38,863",859,4.90%
13,Jharkhand,Ranchi,State,"32,988,134",2.72,"16,930,315","16,057,819",948,66.41,"25,036,946","7,929,292","79,714",414,22.30%
14,Assam,Dispur,State,"31,205,576",2.58,"15,939,443","15,266,133",958,72.19,"26,780,526","4,388,756","78,438",397,16.90%
15,Punjab,Chandigarh,State,"27,743,338",2.29,"14,639,465","13,103,873",895,75.84,"17,316,800","10,387,436","50,362",550,13.70%
16,Chhattisgarh,Raipur,State,"25,545,198",2.11,"12,832,895","12,712,303",991,70.28,"19,603,658","5,936,538","135,191",189,22.60%
17,Haryana,Chandigarh,State,"25,351,462",2.09,"13,494,734","11,856,728",879,75.55,"16,531,493","8,821,588","44,212",573,19.90%
18,Delhi,Delhi,UT,"16,787,941",1.39,"8,887,326","7,800,615",868,86.21,"944,727","12,905,780","1,484","11,297",21%
19,Jammu and Kashmir,"Jammu(winter)
Srinagar(summer)",State,"12,541,302",1.04,"6,640,662","5,900,640",889,67.16,"9,134,820","3,414,106","222,236",56,23.70%
20,Uttarakhand,Dehradun,State,"10,086,292",0.83,"5,137,773","4,948,519",963,79.63,"7,025,583","3,091,169","53,483",189,19.20%
21,Himachal Pradesh,Shimla,State,"6,864,602",0.57,"3,481,873","3,382,729",972,82.8,"6,167,805","688,704","55,673",123,12.80%
22,Tripura,Agartala,State,"3,673,917",0.3,"1,874,376","1,799,541",960,87.22,"2,710,051","960,981","10,486",350,14.70%
23,Meghalaya,Shillong,State,"2,966,889",0.25,"1,491,832","1,475,057",989,74.43,"2,368,971","595,036","22,429",132,27.80%
24,Manipur,Imphal,State,"2,721,756",0.21,"1,290,171","1,280,219",992,79.21,"1,899,624","822,132","22,327",122,18.70%
25,Nagaland,Kohima,State,"1,978,502",0.16,"1,024,649","953,853",931,79.55,"1,406,861","573,741","16,579",119,−0.5%
26,Goa,Panaji,State,"1,458,545",0.12,"739,140","719,405",973,88.7,"551,414","906,309","3,702",394,8.20%
27,Arunachal Pradesh,Itanagar,State,"1,383,727",0.11,"713,912","669,815",938,65.38,"1,069,165","313,446","83,743",17,25.90%
28,Puducherry,Pondicherry,UT,"1,247,953",0.1,"612,511","635,442","1,037",85.85,"394,341","850,123",479,"2,598",27.70%
29,Mizoram,Aizawl,State,"1,097,206",0.09,"555,339","541,867",976,91.33,"529,037","561,997","21,081",52,22.80%
30,Chandigarh,Chandigarh,UT,"1,055,450",0.09,"580,663","474,787",818,86.05,"29,004","1,025,682",114,"9,252",17.10%
31,Sikkim,Gangtok,State,"610,577",0.05,"323,070","287,507",890,81.42,"455,962","151,726","7,096",86,12.40%
32,Andaman and Nicobar Islands,Port Blair,UT,"380,581",0.03,"202,871","177,710",876,86.63,"244,411","135,533","8,249",46,6.70%
33,Dadra and Nagar Haveli,Silvassa,UT,"343,709",0.03,"193,760","149,949",774,76.24,"183,024","159,829",491,698,55.50%
34,Daman and Diu,Daman,UT,"243,247",0.02,"150,301","92,946",618,87.1,"60,331","182,580",112,"2,169",53.50%
35,Lakshadweep,Kavaratti,UT,"64,473",0.01,"33,123","31,350",946,91.85,"14,121","50,308",32,"2,013",6.20%
