State/UT,OVERALL CRIME
West Bengal,2904658
Uttarakhand,289465
Uttar Pradesh,4845182
Tripura,164153
Telangana,0
Tamil Nadu,4631980
Sikkim,43848
Rajasthan,4652322
Punjab,951948
Puducherry,146569
Odisha,1686056
NCT of Delhi,1742287
Nagaland,60122
Mizoram,102406
Meghalaya,93794
Manipur,105768
Maharashtra,6047504
Madhya Pradesh,6139891
Lakshadweep,25772
Kerala,3257687
Karnataka,3499916
Jharkhand,1077276
Jammu & Kashmir,657869
Himachal Pradesh,388076
Haryana,1587716
Gujarat,3414425
Goa,108000
Daman & Diu,33626
Dadara & Nagar Havelli,36025
Chhattisgarh,1483851
Chandigarh,139487
Bihar,3223164
Assam,1570667
Arunanchal Pradesh,99623
Andhra Pradesh,5157424
Andaman & Nicobar Island,47165
