State/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Population,Percentage (%),Males Population,Females Population,Sex_Ratio,Literacy_rate,Male Literacy_rate,Female Literacy_rate,Rural population,Urban population,Area,Density,Decadal growth rate
A & N ISLANDS,160,65,21,109,0,109,94,77,17,15,0,74,892,1124,85,1039,140,72,253,11,98,1105,6,214,43,121,0,42,4443,9102,"380,581",0.03,"202,871","177,710",876,86.63,90.27,82.43,"244,411","135,533","8,249",46,6.70%
ANDHRA PRADESH,31756,22420,1763,13479,2,13477,21239,14936,6303,1987,80,7605,97336,287190,72644,214546,27459,12128,98843,3107,11968,546565,6215,51999,36131,119007,17,138435,482252,2018981,"84,580,777",6.99,"42,442,146","42,138,631",993,67.02,74.88,59.15,"56,361,702","28,219,075","275,045",308,10.98%
ARUNACHAL PRADESH,841,417,36,500,0,500,857,558,299,260,4,843,2780,5178,1076,4102,340,505,520,52,250,5157,2,784,18,167,0,745,7396,27652,"1,383,727",0.11,"713,912","669,815",938,65.38,72.55,57.7,"1,069,165","313,446","83,743",17,25.90%
ASSAM,15432,5662,718,16178,5,16173,27939,22920,5019,4170,253,7467,34752,85475,15479,69996,34963,8402,12391,898,7918,69183,1276,13620,112,39388,8,30205,181354,597764,"31,205,576",2.58,"15,939,443","15,266,133",958,72.19,77.85,66.27,"26,780,526","4,388,756","78,438",397,16.90%
BIHAR,41245,40919,3672,13124,2,13122,37220,19389,17831,11099,1265,23666,40293,153372,34221,119151,105096,15528,30690,826,8509,189266,13548,7576,226,25680,440,44442,538591,1346293,"104,099,452",8.6,"54,278,157","49,821,295",918,61.8,71.2,51.5,"92,075,028","11,729,609","94,163","1,102",25.10%
CHANDIGARH,243,301,79,281,0,281,640,534,106,31,33,397,2947,18474,9195,9279,755,411,2301,27,62,816,42,314,143,807,0,98,11605,40807,"1,055,450",0.09,"580,663","474,787",818,86.05,89.99,81.19,"29,004","1,025,682",114,"9,252",17.10%
CHHATTISGARH,12060,7910,348,11838,0,11838,3345,2630,715,1468,168,5113,44656,62873,20195,42678,10897,1705,6998,578,3147,85026,1142,19165,1725,9573,5,25432,245855,561027,"25,545,198",2.11,"12,832,895","12,712,303",991,70.28,80.27,60.24,"19,603,658","5,936,538","135,191",189,22.60%
D & N HAVELI,108,31,3,56,0,56,141,94,47,40,0,30,388,773,289,484,260,163,171,14,55,318,1,50,4,38,0,148,1859,4651,"343,709",0.03,"193,760","149,949",774,76.24,85.17,64.32,"183,024","159,829",491,698,55.50%
DAMAN & DIU,68,38,2,20,0,20,31,15,16,34,1,23,480,564,342,222,266,67,73,30,34,190,3,15,2,35,0,311,661,2948,"243,247",0.02,"150,301","92,946",618,87.1,91.54,79.55,"60,331","182,580",112,"2,169",53.50%
DELHI UT,6205,5277,883,6424,0,6424,25083,15650,9433,381,1241,6461,23555,231546,127017,104529,996,4725,26128,520,564,22210,1582,7534,1687,15211,1,7503,237457,633174,"16,787,941",1.39,"8,887,326","7,800,615",868,86.21,90.94,80.76,"944,727","12,905,780","1,484","11,297",21%
GOA,487,269,67,350,0,350,236,164,72,55,0,298,3700,8045,2877,5168,813,561,1176,162,272,2287,19,328,123,191,0,2664,9948,32051,"1,458,545",0.12,"739,140","719,405",973,88.7,92.65,84.66,"551,414","906,309","3,702",394,8.20%
GUJARAT,13775,6112,430,4249,0,4249,15246,12918,2328,3842,183,14383,60689,213207,97009,116198,22192,16589,17066,2582,5647,135218,502,8998,1365,59431,0,54385,729684,1385775,"60,439,692",4.99,"31,491,260","28,948,432",919,78.03,85.75,69.68,"34,670,817","25,712,811","196,024",308,19.20%
HARYANA,10471,7434,857,6410,1,6409,8656,6129,2527,1375,2420,5871,46504,131394,83566,47828,12656,8354,15575,372,1906,51254,3130,5323,8188,27112,0,15197,224844,595303,"25,351,462",2.09,"13,494,734","11,856,728",879,75.55,84.06,65.94,"16,531,493","8,821,588","44,212",573,19.90%
HIMACHAL PRADESH,1454,835,130,1804,0,1804,1798,1541,257,45,1,236,9689,9658,2952,6706,7076,1299,2653,54,1484,15909,55,3597,439,3245,0,6309,87178,154948,"6,864,602",0.57,"3,481,873","3,382,729",972,82.8,89.53,75.93,"6,167,805","688,704","55,673",123,12.80%
JAMMU & KASHMIR,6304,10303,347,2810,0,2810,9665,8820,845,188,0,1312,17050,25767,8037,17730,16207,1490,5463,318,3166,3883,135,11509,3993,1800,0,4524,132921,259155,"12,541,302",1.04,"6,640,662","5,900,640",889,67.16,76.75,56.43,"9,134,820","3,414,106","222,236",56,23.70%
JHARKHAND,19060,12270,1231,9159,5,9154,8476,5282,3194,5906,524,8711,16680,71322,18500,52822,28599,4557,9476,203,2012,40237,3291,3985,247,8409,145,13612,154239,422351,"32,988,134",2.72,"16,930,315","16,057,819",948,66.41,76.84,55.42,"25,036,946","7,929,292","79,714",414,22.30%
KARNATAKA,19937,18512,857,5174,2,5172,10029,5315,4714,2581,2713,17287,73298,199960,85444,114516,78421,5392,46335,1563,3711,251332,2918,23699,831,30052,47,5078,681336,1481063,"61,095,297",5.05,"30,966,657","30,128,640",973,75.36,82.47,68.08,"37,552,529","23,578,175","191,791",319,15.70%
KERALA,4733,5327,1897,7447,0,7447,2891,1898,993,1364,1779,8329,46371,62353,21466,40887,96274,4271,43758,1093,5580,232451,301,31490,3304,46074,0,489,829883,1437459,"33,406,061",2.76,"16,027,412","17,378,649","1,084",94,96.11,92.07,"17,445,506","15,932,171","38,863",859,4.90%
LAKSHADWEEP,3,6,0,7,0,7,1,1,0,3,0,0,36,113,11,102,153,2,0,1,22,57,0,5,0,7,0,0,327,743,"64,473",0.01,"33,123","31,350",946,91.85,95.56,87.95,"14,121","50,308",32,"2,013",6.20%
MADHYA PRADESH,28399,29458,1834,36087,1,36086,11958,9243,2715,1655,1541,22314,137346,263860,100112,163748,31124,6533,18495,424,10354,412577,9036,79878,9317,39969,60,64969,1196582,2413770,"72,626,809",6,"37,612,306","35,014,503",931,69.32,78.73,59.24,"52,537,899","20,059,666","308,245",236,20.30%
MAHARASHTRA,32767,20589,1409,17986,2,17984,15101,10853,4248,8175,3657,37719,185617,556807,168232,388575,90244,20766,79902,3806,14515,353760,4249,39219,12110,80363,2,134613,560060,2273436,"112,374,333",9.28,"58,243,056","54,131,277",929,82.34,88.38,75.87,"61,545,441","50,827,531","307,713",365,16.00%
MANIPUR,1955,3536,42,387,0,387,1811,1057,754,48,1121,83,755,4834,2814,2020,851,390,1231,91,952,3433,2,504,3,219,0,87,12737,35072,"2,721,756",0.21,"1,290,171","1,280,219",992,79.21,83.58,70.26,"1,899,624","822,132","22,327",122,18.70%
MEGHALAYA,1730,601,84,1020,0,1020,729,264,465,798,17,972,1888,6004,1466,4538,147,307,1015,88,443,1736,15,532,8,165,4,682,6264,25249,"2,966,889",0.25,"1,491,832","1,475,057",989,74.43,75.95,72.89,"2,368,971","595,036","22,429",132,27.80%
MIZORAM,403,258,67,826,1,825,96,10,86,45,0,114,4748,9803,464,9339,48,281,743,121,267,1216,4,816,6,54,3,315,5912,26146,"1,097,206",0.09,"555,339","541,867",976,91.33,93.35,89.27,"529,037","561,997","21,081",52,22.80%
NAGALAND,1038,464,101,220,0,220,392,71,321,125,0,1042,1146,3802,1118,2684,65,165,379,54,70,532,0,96,10,9,1,372,3050,13133,"1,978,502",0.16,"1,024,649","953,853",931,79.55,82.75,76.11,"1,406,861","573,741","16,579",119,−0.5%
